,image_Height,image_Width,image_Format,image_mode,image_Animated,image_Frames,image_id,class,Xmin,Xmax,Ymin,Ymax,width,height
32,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,860,1034,1191,1324,174,133
33,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,715,814,923,1019,99,96
34,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,513,635,780,931,122,151
35,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,244,328,1538,1653,84,115
36,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,513,651,1416,1557,138,141
37,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,914,1071,1367,1524,157,157
38,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,929,1112,1557,1724,183,167
39,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,946,1107,1745,1887,161,142
40,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,994,1133,1906,2024,139,118
41,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1011,1169,2212,2359,158,147
42,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,582,730,1990,2138,148,148
43,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1550,1722,1669,1856,172,187
44,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1514,1682,1496,1643,168,147
45,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1952,2111,1550,1682,159,132
46,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1642,1742,1951,2044,100,93
47,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1666,1781,2190,2286,115,96
48,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,2025,2189,2169,2322,164,153
49,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,248,381,191,319,133,128
50,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1080,1239,467,597,159,130
51,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,2238,2360,361,465,122,104
52,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1250,1301,740,783,51,43
53,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1195,1241,687,746,46,59
54,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1127,1181,662,721,54,59
55,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,791,848,527,573,57,46
56,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,695,739,568,628,44,60
57,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,754,809,614,662,55,48
58,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,547,675,497,635,128,138
59,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,463,545,548,661,82,113
60,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,405,491,645,715,86,70
61,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,103,227,421,561,124,140
62,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,866,952,962,1061,86,99
63,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,764,841,907,1006,77,99
64,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,662,741,855,949,79,94
65,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,530,644,795,920,114,125
66,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,61,180,815,940,119,125
67,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,893,966,1313,1388,73,75
68,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,834,905,1380,1463,71,83
69,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,772,842,1453,1529,70,76
70,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,615,737,1403,1534,122,131
71,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,476,596,1318,1477,120,159
72,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,344,466,1242,1401,122,159
73,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,208,330,1183,1328,122,145
74,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,71,185,1121,1263,114,142
75,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,49,173,1423,1577,124,154
76,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Truncated_airplane,0,54,1030,1168,54,138
77,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1661,1739,1367,1440,78,73
78,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1670,1759,1277,1343,89,66
79,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1704,1795,1185,1257,91,72
80,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1763,1853,1096,1164,90,68
81,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1672,1748,947,1026,76,79
82,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1564,1642,893,1011,78,118
83,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1511,1584,978,1072,73,94
84,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1493,1569,1071,1140,76,69
85,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1445,1520,1168,1266,75,98
86,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1348,1417,1150,1240,69,90
87,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1264,1334,1112,1195,70,83
88,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,2481,2554,1500,1575,73,75
89,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,2300,2395,1410,1476,95,66
90,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,2257,2370,1290,1385,113,95
91,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,2101,2174,1200,1297,73,97
92,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,2024,2107,1282,1370,83,88
93,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,2278,2348,1746,1833,70,87
94,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,2191,2246,1729,1814,55,85
95,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1935,2006,1718,1791,71,73
96,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1909,1996,1952,2044,87,92
97,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,2115,2207,2376,2474,92,98
98,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1927,1977,2257,2333,50,76
99,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1821,1891,2180,2279,70,99
100,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,1717,1791,2122,2231,74,109
101,2560,2560,JPEG,RGB,False,1,c98a544c-4206-4176-b480-35b8bdf5bb14.jpg,Airplane,855,1020,2449,2552,165,103
102,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1677,1777,485,554,100,69
103,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1904,1996,853,923,92,70
104,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2163,2248,866,934,85,68
105,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2384,2474,938,1005,90,67
106,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2386,2473,1185,1253,87,68
107,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2394,2475,1348,1411,81,63
108,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2154,2235,1364,1429,81,65
109,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2150,2242,1657,1730,92,73
110,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2153,2243,1744,1815,90,71
111,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2165,2248,1828,1902,83,74
112,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2155,2248,1911,1985,93,74
113,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2138,2225,1993,2070,87,77
114,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2162,2264,2169,2245,102,76
115,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2179,2280,2255,2317,101,62
116,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,2381,2474,1904,1988,93,84
117,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1528,1638,847,923,110,76
118,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1769,1856,939,1003,87,64
119,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1771,1869,1023,1102,98,79
120,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1527,1633,1017,1084,106,67
121,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1526,1630,1105,1178,104,73
122,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1528,1634,1295,1365,106,70
123,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1535,1617,1385,1459,82,74
124,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1788,1860,1476,1547,72,71
125,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1776,1862,1606,1683,86,77
126,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1762,1854,1793,1866,92,73
127,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1743,1847,1885,1954,104,69
128,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1768,1867,2074,2143,99,69
129,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1772,1854,2255,2318,82,63
130,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1512,1611,1469,1544,99,75
131,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1536,1641,1888,1960,105,72
132,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1535,1642,2071,2140,107,69
133,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1525,1672,2159,2237,147,78
134,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1155,1244,847,918,89,71
135,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1138,1240,1011,1087,102,76
136,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1147,1260,1303,1382,113,79
137,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1147,1255,1565,1647,108,82
138,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1151,1256,1864,1949,105,85
139,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1165,1254,2049,2131,89,82
140,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,1159,1256,2144,2219,97,75
141,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,915,1038,2233,2326,123,93
142,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,786,878,2082,2188,92,106
143,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,543,637,2059,2127,94,68
144,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,698,747,1952,2007,49,55
145,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,932,1047,1696,1776,115,80
146,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,929,1052,1804,1899,123,95
147,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,539,635,1785,1860,96,75
148,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,538,637,1598,1669,99,71
149,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,567,635,1456,1508,68,52
150,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,562,635,1196,1270,73,74
151,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,684,745,971,1049,61,78
152,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,547,614,924,983,67,59
153,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,932,1035,876,950,103,74
154,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,932,1039,1338,1403,107,65
155,2560,2560,JPEG,RGB,False,1,4c9d2482-788c-4d68-a3d4-478b2367abce.jpg,Airplane,920,1021,1426,1511,101,85
156,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1517,1660,130,267,143,137
157,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1491,1568,496,585,77,89
158,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1390,1469,531,625,79,94
159,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1907,2037,668,838,130,170
160,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1710,1892,664,847,182,183
161,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1264,1431,975,1146,167,171
162,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1336,1499,1155,1291,163,136
163,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1388,1506,1332,1435,118,103
164,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1033,1128,1279,1357,95,78
165,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,2276,2333,225,308,57,83
166,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Truncated_airplane,2235,2384,1147,1320,149,173
167,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1646,1734,1682,1791,88,109
168,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1832,2001,1889,2037,169,148
169,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1890,1975,2317,2390,85,73
170,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1475,1558,2052,2125,83,73
171,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1478,1560,2261,2324,82,63
172,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1499,1565,2390,2453,66,63
173,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1134,1262,1726,1842,128,116
174,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1273,1342,2356,2414,69,58
175,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1246,1331,2223,2280,85,57
176,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,1233,1307,2149,2203,74,54
177,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,608,754,1818,1957,146,139
178,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,209,321,1021,1118,112,97
179,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,211,292,1314,1397,81,83
180,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,241,377,1578,1699,136,121
181,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,229,377,1732,1872,148,140
182,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,90,199,1638,1740,109,102
183,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Airplane,196,328,2160,2285,132,125
184,2560,2560,JPEG,RGB,False,1,b3c7c22d-9c71-4ff3-9146-e2f9ab2f9787.jpg,Truncated_airplane,0,35,1019,1077,35,58
185,2560,2560,JPEG,RGB,False,1,90c365f8-18b6-4230-be74-cd856a1ba98f.jpg,Airplane,2103,2186,625,734,83,109
186,2560,2560,JPEG,RGB,False,1,90c365f8-18b6-4230-be74-cd856a1ba98f.jpg,Airplane,2407,2478,391,502,71,111
187,2560,2560,JPEG,RGB,False,1,90c365f8-18b6-4230-be74-cd856a1ba98f.jpg,Airplane,2010,2080,215,278,70,63
188,2560,2560,JPEG,RGB,False,1,90c365f8-18b6-4230-be74-cd856a1ba98f.jpg,Airplane,1916,1978,162,215,62,53
189,2560,2560,JPEG,RGB,False,1,90c365f8-18b6-4230-be74-cd856a1ba98f.jpg,Airplane,1834,1902,105,177,68,72
190,2560,2560,JPEG,RGB,False,1,90c365f8-18b6-4230-be74-cd856a1ba98f.jpg,Airplane,2003,2047,480,541,44,61
191,2560,2560,JPEG,RGB,False,1,90c365f8-18b6-4230-be74-cd856a1ba98f.jpg,Airplane,2071,2129,426,498,58,72
